MLBAMID,Age,ERA,RS_per_9,K_per_9,BB_per_9,H_per_9,HR_per_9,AVG,WHIP,BABIP,LOB_pct,GB_pct,LD_pct,FB_pct,GB_to_FB,HR_to_FB,IFH_pct,FIP,Stuff_plus,Location_plus,Pitching_plus,Delta SIERA
425844,39,5.015267176,2.38236002,7.14708007,1.58824002,10.3235601,1.58824002,0.27659575,1.32353335,0.30555556,0.6818,0.36842105,0.31578947,0.31578947,1.166666666,0.166666666,0.14285714,4.75504434,89.4515625,102.078125,100.1333333,-0.548188036
446372,37,6.263995221,6.75001706,5.40001365,2.02500512,15.5250392,4.05001024,0.37704918,1.95000493,0.36170213,0.6989,0.28301887,0.20754717,0.50943396,0.555555555,0.222222222,0.13333333,8.80505391,97.45,108.7022727,106.5259091,0.063427702
448179,43,5.572480188,1.68749467,7.59372601,4.21873667,8.43747335,0,0.24390244,1.40624556,0.3125,0.5625,0.5,0.25,0.25,2,0,0.0625,3.25503988,94.71893491,94.86686391,97.75207101,-0.351720685
453281,36,4.339281636,3.85714181,6.17142689,0.77142836,10.0285687,2.31428508,0.27659575,1.19999967,0.27777778,0.8333,0.38461538,0.20512821,0.41025641,0.9375,0.1875,0.13333333,5.65574392,74.31556886,99.73233533,94.47125749,-1.721996225
456034,35,3.919357853,7.23712052,6.68041894,4.17526184,11.6907331,1.11340316,0.30882353,1.76288833,0.35185185,0.8088,0.4587156,0.28440367,0.25688073,1.785714285,0.142857142,0.12,4.9638465,78.86865942,99.33695652,91.86177536,0.575509602
500779,32,8.228571429,5.14286275,10.9285833,2.8928603,9.00000981,1.92857353,0.25454546,1.32143001,0.31428571,0.8446,0.51315789,0.14473684,0.34210526,1.5,0.23076923,0.02564103,4.59860329,92.27641475,101.2556541,97.59720003,-1.336486145
502179,34,4.5,3.80281149,7.60562297,1.5211246,6.84506068,1.14084345,0.1978022,0.92957614,0.22058824,0.6742,0.32394366,0.18309859,0.49295775,0.657142857,0.085714285,0,3.63481838,110.0083799,103.1494413,104.7692737,-0.485158749
502179,35,5.808762468,3.6404453,7.58426105,1.51685221,8.49437237,0.60674088,0.24561404,1.11235829,0.29885058,0.8609,0.34831461,0.21348315,0.43820225,0.794871794,0.051282051,0,2.80905937,102.7693157,102.7896247,104.7002208,-0.711757949
502624,33,6.935785885,4.62855806,6.17141075,2.31427903,9.25711612,0,0.26666667,1.28571057,0.32432432,0.4667,0.33333333,0.22222222,0.44444444,0.75,0,0,2.57003204,92.9654321,101.9246914,100.2938272,-0.834596117
519043,32,6.550299554,2.15999563,6.4799869,2.69999454,8.09998362,1.07999782,0.234375,1.19999757,0.26,0.4651,0.42857143,0.18367347,0.3877551,1.105263157,0.105263157,0.04761905,4.19002825,102.6985401,96.88029197,94.26532847,-0.857971043
527048,30,4.77,2.57142857,7.71428571,1.92857143,10.9285714,1.28571429,0.28333333,1.42857143,0.32608696,0.4945,0.54166667,0.14583333,0.3125,1.733333333,0.133333333,0.15384615,4.17003031,84.07379913,102.8222707,100.950655,-0.875401284
527048,32,4.984630714,5.94000567,6.48000618,2.16000206,7.0200067,0.81000077,0.2184874,1.02000097,0.25,0.8232,0.62765957,0.11702128,0.25531915,2.458333333,0.125,0.03389831,3.97504057,77.01440678,106.1379237,99.32987288,-1.782851999
528748,23,5.558823529,1.54285269,7.71426343,4.62855806,6.17141075,0.77142634,0.18604651,1.19999653,0.21875,0.7143,0.44827586,0.17241379,0.37931034,1.181818181,0.09090909,0,4.11288473,76.92080925,98.76416185,92.37687861,-0.582235183
542888,32,0,3.375,9.225,1.8,6.075,0.45,0.18243243,0.875,0.23809524,0.7459,0.3364486,0.21495327,0.44859813,0.75,0.041666666,0.11111111,2.75503988,104.2447712,108.995098,108.5962418,0.085487445
543475,30,5.389221557,6.23076923,4.15384615,2.07692308,5.53846154,0,0.17391304,0.84615385,0.2,0.7273,0.36842105,0.18421053,0.44736842,0.823529411,0,0,2.93926108,87.48678161,94.82758621,92.67068966,0.510411999
543521,34,0,5.19230769,10.7307692,1.90384615,7.26923077,0.51923077,0.21761658,1.01923077,0.3046875,0.7874,0.4453125,0.1875,0.3671875,1.212765957,0.063829787,0.07017544,2.28541492,117.3211634,105.1826733,110.2899752,-0.138851092
548389,31,4.691121626,6,6,2.4,9,2.4,0.25862069,1.26666667,0.25,0.7639,0.4375,0.1875,0.375,1.166666666,0.222222222,0.04761905,6.30336364,91.16491228,101.1723684,94.61535088,0.239289345
548389,32,2.918926804,3.27272727,9,4.90909091,8.18181818,0.81818182,0.22727273,1.45454546,0.28125,0.6849,0.54545455,0.06060606,0.39393939,1.384615384,0.076923076,0,3.93061163,98.81078431,97.41568627,98.33284314,0.442056187
548389,33,4.92567885,2.26890575,7.48738896,2.04201517,11.3445287,2.49579632,0.30120482,1.48739377,0.31967213,0.7623,0.42857143,0.21052632,0.36090226,1.1875,0.229166666,0.10526316,5.95251671,78.44529412,107.6183824,103.2314706,-0.079855473
570632,29,5.963855422,5.6037629,6.62262888,2.54716495,10.6980928,1.01886598,0.29166667,1.47169531,0.33333333,0.6897,0.49152542,0.20338983,0.30508475,1.611111111,0.111111111,0.06896552,4.01908529,90.10357143,93.56571429,91.54107143,-0.977911273
570666,30,4.295454545,6.13635832,6.87272131,3.68181499,8.59090164,1.472726,0.25179856,1.36363518,0.27619048,0.6808,0.55045872,0.16513761,0.28440367,1.93548387,0.193548387,0.06666667,5.02151906,92.75985533,103.5316456,101.5081374,-0.477296636
571760,32,4.082916648,5.06248401,11.8124627,4.21873667,9.28122068,0.84374734,0.24444444,1.49999526,0.33333333,0.641,0.43333333,0.16666667,0.4,1.083333333,0.083333333,0.30769231,3.53628899,104.9117371,102.971831,106.2558685,-0.803034022
571800,31,4.516726831,5.7446685,8.61700274,6.89360219,6.89360219,0.57446685,0.2,1.5319116,0.25,0.6637,0.37209302,0.1627907,0.46511628,0.8,0.05,0.0625,4.32519316,88.89202899,97.18405797,95.00833333,0.049030969
571927,32,4.04494382,1.6875,8.4375,2.8125,7.3125,0,0.22033898,1.125,0.29545455,0.7,0.48837209,0.27906977,0.23255814,2.1,0,0.14285714,2.69253988,85.02017544,98.76622807,93.95438596,-0.604550124
572070,33,5.22055957,2.73418071,9.5696325,4.10127107,8.20254214,0.34177259,0.23762376,1.36709036,0.31944444,0.578,0.49315068,0.17808219,0.32876712,1.5,0.041666666,0.11111111,2.90420718,105.4016279,101.9806977,104.2481395,-1.08462793
572971,35,6.394745348,6.56758551,8.02704896,5.83785379,11.6757076,0.72973172,0.32,1.94595126,0.39473684,0.7627,0.46153846,0.28205128,0.25641026,1.8,0.1,0.11111111,4.71450333,77.26291667,101.4779167,98.38916667,-0.08195826
579328,31,5.246965832,5.40000993,16.2000298,4.41818994,8.34546988,1.96363997,0.23611111,1.41818443,0.37142857,0.8036,0.38461538,0.30769231,0.30769231,1.25,0.333333333,0.06666667,4.14879535,114.478209,97.89701493,99.46567164,-2.197377904
592346,29,6.620689655,4.29544468,4.90907963,3.06817477,11.0454292,0.61363495,0.30508475,1.56817822,0.34,0.6019,0.36,0.32,0.32,1.125,0.0625,0,3.98821025,91.37625,105.0125,101.2395833,-0.110091829
592716,29,3,1.58824002,7.94120008,2.38236002,7.14708007,0.79412001,0.21428571,1.05882668,0.25806452,0.5882,0.4375,0.28125,0.28125,1.555555555,0.111111111,0,4.14062143,83.78343195,95.83550296,92.2443787,-0.652294518
592717,29,7.159090909,3.9375,6.1875,1.6875,8.4375,1.125,0.25,1.125,0.27659575,0.5556,0.57142857,0.12244898,0.30612245,1.866666666,0.133333333,0.03571429,4.11242981,91.24135021,103.0544304,100.4345992,-0.8808684
592761,29,6.947368421,7.14705481,9.37058298,3.65293913,6.67058449,0.95294064,0.2,1.14705818,0.24827586,0.8221,0.27027027,0.20945946,0.52027027,0.519480519,0.077922077,0.1,3.84061817,93.50513347,95.66570842,97.03819302,-1.092130368
592767,32,4.746384024,9,6.54545455,2.45454546,9,0,0.26190476,1.27272727,0.32352941,0.8571,0.35483871,0.38709677,0.25806452,1.375,0,0,2.53366667,103.0173913,104.423913,93.89275362,-0.084590753
592767,34,5.621684403,8.79068734,12.2441717,4.08139055,6.90696863,0.94185936,0.20952381,1.2209288,0.3015873,0.7143,0.421875,0.203125,0.375,1.125,0.125,0.03703704,3.25503988,92.97719298,96.8747807,99.40482456,-1.588606064
592826,30,5.262716118,4.25,8.5,2.5,7,0.75,0.20740741,1.05555556,0.25510204,0.6034,0.37,0.11,0.52,0.711538461,0.057692307,0.02702703,3.22354092,98.75233333,99.75766667,100.8603333,-0.909165383
592866,29,4.325240596,2.82089084,9.26864131,2.41790643,10.4775945,0.80596881,0.27956989,1.43283344,0.35294118,0.5298,0.46268657,0.25373134,0.28358209,1.631578947,0.105263157,0.03225806,3.21480635,92.9164613,106.3625832,102.1695858,-0.791446163
592866,30,4.189651728,5.29411765,9.70588235,2.64705882,8.47058824,0.70588235,0.24615385,1.23529412,0.32352941,0.8278,0.35036496,0.24817518,0.40145985,0.872727272,0.072727272,0.08333333,3.03399844,94.55386598,103.7050258,100.4311856,-1.087883914
594577,30,4.295444677,3.25,8.25,3,9.5,3,0.26027397,1.38888889,0.25742574,0.7386,0.33628319,0.16814159,0.49557522,0.678571428,0.214285714,0.10526316,6.77909648,96.48112324,98.96864275,97.08065523,-0.502610813
594902,31,5.48223053,4.69565217,6.65217391,2.34782609,9.39130435,1.17391304,0.26373626,1.30434783,0.29577465,0.6589,0.47297297,0.2027027,0.32432432,1.458333333,0.125,0.08571429,4.25503988,79.48591954,100.8508621,93.95431034,-0.130996844
595881,29,9.6,5.24460036,5.0503559,3.6906447,9.71222289,0.77697783,0.27027027,1.48920751,0.29677419,0.7831,0.49044586,0.21656051,0.29299363,1.673913043,0.086956521,0.03896104,4.53688917,93.4840731,97.54249941,97.29261822,-0.572084838
596001,28,4.60976178,3.75,7.5,3,12.75,3,0.33333333,1.75,0.35135135,0.7792,0.41463415,0.2195122,0.36585366,1.133333333,0.266666666,0.05882353,6.83669697,93.95512195,98.86292683,98.11268293,0.7166565
596001,29,4.821428571,1.92857143,8.67857143,1.92857143,8.67857143,0.32142857,0.25233645,1.17857143,0.32911392,0.7278,0.48101266,0.2278481,0.29113924,1.652173913,0.04347826,0.02631579,2.29100124,101.0849515,102.8837379,105.2143204,-1.006488583
596001,30,0,4.41818396,10.0636413,2.33181931,10.4318233,1.35000066,0.28619529,1.41818251,0.3627451,0.7343,0.4084507,0.21126761,0.38028169,1.074074074,0.135802469,0.02298851,3.90958566,114.0400679,100.209253,105.0800509,0.534413906
596057,29,3.272727308,3.96503216,11.3286633,4.15384322,6.98600905,2.07692161,0.21142857,1.23776136,0.25,0.5794,0.45217391,0.16521739,0.3826087,1.181818181,0.25,0.05769231,5.16837241,98.38134775,93.65938325,96.75050628,-2.572348652
596295,28,5.749047095,3.64864865,6.56756757,2.18918919,8.75675676,1.7027027,0.25174825,1.21621622,0.26605505,0.6818,0.46551724,0.17241379,0.36206897,1.285714285,0.166666666,0.01851852,4.84215954,82.32320261,102.0882353,99.0498366,-0.496416271
601713,30,4.655172414,5.17364974,12.6107712,3.39520764,5.3353263,1.13173588,0.16582915,0.97005933,0.22807018,0.7301,0.35,0.20833333,0.44166667,0.79245283,0.132075471,0.0952381,3.27300394,126.9674752,103.6340684,110.7789416,-0.840933882
605154,32,0.818181818,3.31578947,7.42105263,2.68421053,9.63157895,0.78947368,0.26754386,1.36842105,0.31818182,0.7324,0.35393258,0.17977528,0.46629213,0.759036144,0.060240963,0.0952381,3.49839472,102.9912052,102.3581976,104.0420195,-0.175242665
605154,33,2.31427903,5.0624936,11.4749855,3.03749616,7.76249019,1.01249872,0.22115385,1.19999848,0.29850746,0.5036,0.3,0.12857143,0.57142857,0.525,0.075,0.04761905,3.18003998,107.1110403,105.422293,105.9804671,-0.89694539
605242,28,4.973670979,4.2631579,10.4210526,2.36842105,9,0.94736842,0.25791855,1.2631579,0.34228188,0.8601,0.42580645,0.21290323,0.36129032,1.178571428,0.107142857,0.09090909,3.27529347,104.3768994,99.73193018,103.1410678,-2.021854705
605488,29,2.664,4.35485291,9.5806764,2.61291175,3.48388233,0,0.12121212,0.67742156,0.18181818,1,0.5,0.18181818,0.31818182,1.571428571,0,0,1.85436119,96.90555556,104.8006944,104.0076389,-0.640618185
605507,27,3.251307277,7.14708007,8.73532009,4.76472005,9.5294401,0,0.26666667,1.58824002,0.35294118,0.7368,0.40625,0.125,0.46875,0.866666666,0,0.23076923,3.08179475,94.0795,99.6025,94.0095,0.081726982
605507,28,5.188941974,3.72414442,6.51725274,2.32759026,11.1724333,0,0.2962963,1.50000261,0.35820896,0.6,0.46268657,0.25373134,0.28358209,1.631578947,0,0.12903226,2.59518753,92.05555556,98.54567901,94.93858025,-0.808450617
607067,32,4.750719214,4.09090909,5.72727273,4.90909091,7.36363636,0.81818182,0.23076923,1.36363636,0.25806452,0.8904,0.59375,0.15625,0.25,2.375,0.125,0.10526316,5.0732217,93.66213018,104.0414201,95.75621302,0.795952848
607188,27,4.846153846,4.57626335,10.0677794,4.11863701,10.983032,1.83050534,0.28571429,1.67796323,0.34482759,0.7042,0.41666667,0.15,0.43333333,0.961538461,0.153846153,0.08,5.10223039,83.37742718,92.13495146,91.64004854,-0.876180714
607231,28,4.416355124,2.21311074,8.40982081,4.42622148,6.63933222,0.44262215,0.19736842,1.22950597,0.25,0.7422,0.43859649,0.24561404,0.31578947,1.388888888,0.055555555,0.08,3.71101293,92.28738128,93.10672298,91.86115026,-1.275023952
607259,31,4.299365669,4,8,2.33333333,7,1,0.20895522,1.03703704,0.24489796,0.7905,0.49006623,0.1589404,0.35099338,1.396226415,0.113207547,0.12162162,3.72354092,92.1991453,101.274359,100.3078144,-1.244267728
607259,32,2.320310771,5.85221367,9.17733507,2.92610684,9.44334479,1.06403885,0.26792453,1.37438351,0.33510638,0.7311,0.53968254,0.1957672,0.26455026,2.04,0.16,0.07843137,3.86095089,92.14146789,102.9761468,102.0999083,-1.045381991
608344,29,4.810344828,3.25862637,9.31036106,2.32759026,8.37932495,0.93103611,0.2278481,1.18965725,0.28070175,0.6306,0.51724138,0.20689655,0.27586207,1.875,0.125,0.1,3.61710948,80.50327381,102.0678571,96.39672619,-1.196467899
608379,29,4.527964365,2.59615889,9.86540379,2.59615889,11.9423309,3.63462245,0.31506849,1.61538776,0.34042553,0.6593,0.39622642,0.26415094,0.33962264,1.166666666,0.388888888,0,7.09311486,100.4337037,100.8244444,100.682963,-0.499025459
608723,30,3.065503613,2.48683849,8.17104074,3.55262641,14.2105056,1.7763132,0.35087719,1.97368134,0.40697674,0.6047,0.41758242,0.21978022,0.36263736,1.151515151,0.151515151,0.02631579,5.04663752,92.64094578,101.6099594,102.0517786,-0.078667332
615698,26,3.123966942,2.51162496,6.90696863,3.76743743,7.84882798,0.62790624,0.23584906,1.29069616,0.28048781,0.914,0.4556962,0.27848101,0.26582278,1.714285714,0.095238095,0,4.11188967,96.18421053,99.90745614,97.41622807,0.067681562
621219,29,4.802015144,5.03388968,6.86439502,4.57626335,10.983032,1.372879,0.3,1.7288106,0.33870968,0.6402,0.53125,0.171875,0.296875,1.789473684,0.157894736,0.02941176,5.61070409,82.06022099,97.42403315,91.47651934,0.428243627
621368,26,5.823529412,4.72500282,9.28125553,4.55625272,7.59375453,1.35000081,0.2238806,1.35000081,0.26811594,0.7803,0.40714286,0.19285714,0.4,1.017857142,0.142857142,0.07017544,4.68878121,103.0175691,96.7,98.6720442,-0.606999962
621368,27,6.254237288,3.95121951,9.43902439,3.29268293,7.02439024,0.43902439,0.20512821,1.14634146,0.27027027,0.6561,0.375,0.26785714,0.35714286,1.05,0.05,0.07142857,2.74657615,105.6280387,99.49198895,100.1651934,-1.210700444
621381,31,4.050003862,5.7975494,10.7668775,1.98773122,7.12270355,1.32515415,0.21078431,1.01227053,0.26717557,0.8219,0.32592593,0.2,0.47407407,0.6875,0.125,0,3.43908907,105.8157462,104.8217391,105.2950646,-0.268483849
621383,31,6.967764657,4.08552375,7.28289017,2.30920908,8.17104751,1.59868321,0.2408377,1.16447295,0.26241135,0.7692,0.39597315,0.18120805,0.42281879,0.936507936,0.142857142,0.03389831,4.89319675,89.01513648,101.0158809,100.2236973,-0.452363317
621389,32,5.288656882,4.05001024,3.37500853,1.35000341,16.2000409,1.35000341,0.38095238,1.95000493,0.39285714,0.5785,0.46551724,0.31034483,0.22413793,2.076923076,0.153846153,0.07407407,5.13004462,74.19393939,101.8519481,88.99090909,-0.350744444
622072,32,6.084511129,3.5761612,6.2582821,3.03973702,8.40397882,0.35761612,0.2460733,1.27152398,0.29220779,0.7595,0.49032258,0.18709677,0.32258065,1.52,0.04,0.05263158,3.51331819,82.38142681,99.79323493,95.53234932,-0.859328945
622694,27,5.978567356,2.87233425,10.9148701,5.17020165,9.76593644,2.87233425,0.27868853,1.6595709,0.32432432,0.7,0.14285714,0.21428571,0.64285714,0.222222222,0.185185185,0,6.75071986,80.74329897,101.909622,97.80171821,-0.176212348
623167,27,4.016528926,1.61999673,6.4799869,3.77999236,5.39998908,0,0.16393443,1.01999794,0.20408163,0.5882,0.38297872,0.12765957,0.4893617,0.782608695,0,0.05555556,2.93243017,99.10853659,97.75081301,97.71626016,-0.402183494
623167,28,7.184555414,2.55405057,5.83782986,4.01350803,11.6756597,2.1891862,0.31683168,1.74324086,0.32911392,0.7803,0.4,0.25882353,0.34117647,1.172413793,0.206896551,0.08823529,6.45773821,87.06608479,97.73092269,91.80299252,0.129136688
624133,25,1.507613396,5.13223545,9.37190821,3.1239694,4.68595411,0.66942202,0.14893617,0.86776928,0.1875,0.858,0.63541667,0.125,0.23958333,2.652173913,0.130434782,0.03278689,3.31879076,86.14237856,102.9673367,96.78978224,-0.447558634
624522,26,5.510215449,5.10810811,9.97297297,4.86486487,6.81081081,1.7027027,0.2,1.2972973,0.22826087,0.9694,0.41666667,0.21875,0.36458333,1.142857142,0.2,0.05,5.11597625,106.6822294,99.18029079,99.15896607,-1.436419854
624522,27,4.825534108,3.43636066,10.309082,3.43636066,4.66363232,0.49090867,0.15447155,0.89999922,0.21518987,0.9036,0.575,0.0875,0.3375,1.703703703,0.074074074,0.10869565,2.92152088,114.03407,100.1082873,102.3637201,-1.597051989
625643,27,4.098217775,7.96722632,9.73772106,1.32787105,4.42623684,1.32787105,0.14285714,0.63934532,0.15555556,0.7955,0.3125,0.25,0.4375,0.714285714,0.142857142,0.06666667,3.36675195,109.24375,103.74375,102.895625,-1.387273979
630023,29,7.892313829,5.39999588,4.53599654,2.59199802,7.55999423,1.51199885,0.22580645,1.12799914,0.22047244,0.9184,0.42857143,0.19548872,0.37593985,1.14,0.14,0,5.43903822,94.71938611,97.86720517,93.31550889,0.25263794
640455,31,4.821425287,4.81690141,10.3943662,3.29577465,7.22535211,0.88732394,0.21509434,1.16901409,0.28409091,0.6736,0.40659341,0.23076923,0.36263736,1.121212121,0.106060606,0.02702703,3.4944765,93.86855501,101.0420361,96.36707718,-0.837791628
640470,26,5.163025581,5.12069858,9.77587911,0.93103611,7.44828884,0.46551805,0.21917808,0.93103611,0.29411765,0.9036,0.47916667,0.27083333,0.25,1.916666666,0.083333333,0.08695652,1.98037306,110.4428058,104.8057554,105.5881295,-1.396516852
641302,26,3.374998198,5.44537379,7.94117011,2.26890575,9.7562947,1.58823402,0.26380368,1.33613338,0.29752066,0.7466,0.4015748,0.17322835,0.42519685,0.944444444,0.129629629,0.07843137,4.53137376,90.90115132,103.9886513,101.7251645,-0.679938317
641302,27,5.7375,4.71428571,3.85714286,1.28571429,7.71428571,0.42857143,0.23076923,1,0.25,0.9184,0.42647059,0.17647059,0.39705882,1.074074074,0.037037037,0.10344828,3.302906,85.6737931,105.9048276,100.5968966,-0.295537032
641482,26,3.068183308,3.20338434,12.8135374,3.66101068,6.40676868,0.45762634,0.1971831,1.11864215,0.30952381,0.7767,0.39534884,0.23255814,0.37209302,1.0625,0.0625,0.05882353,2.20393027,88.68492308,102.4372308,103.188,-1.238782187
641540,28,3.551020408,4.20778668,5.25973335,2.45454223,8.06492448,1.05194667,0.23469388,1.16882963,0.25,0.6475,0.5060241,0.12048193,0.37349398,1.354838709,0.096774193,0.02380952,4.65763544,81.64310777,101.2877193,94.01002506,0.230398232
641712,28,5.261538462,6.06123699,6.61225854,3.85715082,10.4694094,0.55102155,0.28358209,1.59184002,0.33333333,0.7422,0.47272727,0.21818182,0.30909091,1.529411764,0.058823529,0.15384615,4.05095989,92.78885017,92.5554007,89.93170732,-0.716536138
641743,26,4.426236843,5.40001365,9.45002388,5.40001365,12.1500307,3.37500853,0.32142857,1.95000493,0.35135135,0.8,0.5,0.19047619,0.30952381,1.615384615,0.384615384,0.14285714,7.97004244,88.3578125,93.90039063,91.89375,0.464845649
641745,26,4.929168737,2.59615889,9.86540379,5.19231779,12.9807945,0.51923178,0.32894737,2.0192347,0.42857143,0.6548,0.61403509,0.10526316,0.28070175,2.1875,0.0625,0.05714286,3.40089191,104.2180473,92.62514793,96.42840237,-0.899028158
641771,28,4.432835821,10.1250256,11.475029,4.72501194,11.475029,2.70000682,0.32075472,1.80000455,0.40625,0.7216,0.31428571,0.28571429,0.4,0.785714285,0.285714285,0.09090909,6.32003827,107.3233607,90.7397541,93.46803279,-1.239974904
641771,30,9.409090909,1.65306464,7.16328008,6.61225854,11.0204309,1.65306464,0.3030303,1.95918772,0.34,0.6376,0.33962264,0.33962264,0.32075472,1.058823529,0.176470588,0.05555556,6.62239377,108.3350649,93.31525974,96.54318182,-0.517572099
641778,26,3.037490513,1.5,12,4.5,6.75,2.25,0.20454546,1.25,0.24,0.8333,0.32142857,0.17857143,0.5,0.642857142,0.214285714,0,5.25336364,97.69619048,96.92714286,93.9047619,-0.804924715
641793,27,3.406543756,0.48214199,8.67855576,3.37499391,11.5714077,1.44642596,0.3,1.66071129,0.3559322,0.6343,0.45901639,0.2295082,0.31147541,1.47368421,0.157894736,0.03571429,4.54075185,101.9493789,107.6782609,108.3440994,-0.019663675
642028,27,5.142857143,3.64865862,3.64865862,4.37839034,7.29731724,2.18919517,0.21276596,1.29730084,0.17948718,0.7627,0.29268293,0.17073171,0.53658537,0.545454545,0.136363636,0.08333333,6.92325103,81.48484848,95.6959596,91.97777778,0.680942259
642092,26,7.92,2.55118302,5.95276038,1.91338726,10.2047321,1.48819009,0.27745665,1.3464577,0.29710145,0.7227,0.42657343,0.2027972,0.37062937,1.150943396,0.132075471,0.04918033,4.91806312,91.46293605,104.10625,99.51395349,-1.397531306
642232,29,5.461538462,5.44736842,7.10526316,1.89473684,8.05263158,0.71052632,0.23611111,1.10526316,0.27927928,0.7078,0.36036036,0.1981982,0.44144144,0.81632653,0.061224489,0.075,3.72266189,74.79727273,100.8593939,94.06227273,-0.368420922
642232,30,4.462813435,4.53781149,6.35293609,2.49579632,10.8907476,2.04201517,0.29268293,1.48739377,0.30708661,0.8333,0.43939394,0.17424242,0.38636364,1.137254901,0.176470588,0.06896552,5.78469658,80.5755102,101.2080175,95.20918367,-0.153608826
642232,31,4.695652174,4.32824094,7.4198416,1.44274698,8.86258858,1.44274698,0.25294118,1.14503728,0.28346457,0.7522,0.36641221,0.19847328,0.4351145,0.842105263,0.122807017,0.02083333,4.5145809,80.48652681,104.7717886,96.22656587,-0.735512889
642545,26,4.939030479,6.21818182,6.54545455,3.76363636,10.3090909,2.29090909,0.28378378,1.56363636,0.29166667,0.5786,0.38674033,0.19337017,0.4198895,0.921052631,0.184210526,0.07142857,6.41867625,96.89647727,97.09420455,97.19443182,0.138403671
643377,26,6.100964671,6.39471983,7.81576868,3.55262213,9.94734196,3.55262213,0.26923077,1.49999601,0.25,0.6667,0.29268293,0.17073171,0.53658537,0.545454545,0.227272727,0.08333333,7.7489655,77.7446281,98.85413223,100.5760331,-0.380222337
643410,31,8.162809888,3.37500201,10.4625062,3.03750181,6.24375372,0.8437505,0.19072165,1.03125062,0.2519685,0.7736,0.51937984,0.17054264,0.31007752,1.675,0.125,0.10447761,3.29992992,90.71904177,95.60921376,93.78832924,-2.155573418
650633,26,5.472965496,5.35344388,9.77585403,2.79310115,6.98275288,0.69827529,0.20547945,1.086206,0.26732673,0.8333,0.46601942,0.23300971,0.30097087,1.548387096,0.096774193,0.04166667,3.17003031,104.5298333,103.0261667,104.5873333,-1.770995668
650633,28,2.231406717,3.63730771,10.6321302,3.21761836,7.13471897,0.8393787,0.2125,1.1502597,0.28481013,0.7932,0.46296296,0.2037037,0.33333333,1.388888888,0.111111111,0.08,3.41048038,113.7594118,99.69892157,102.6709804,0.204021519
650911,25,3.375008529,2.69999659,8.09998977,4.72499403,9.44998806,0.67499915,0.26168224,1.57499801,0.32098765,0.5924,0.58536585,0.15853659,0.25609756,2.285714285,0.095238095,0.0625,4.19992844,94.53247863,94.92564103,96.94700855,0.189234956
656222,28,2.842097702,4.65517548,10.4275931,3.16551932,6.70345269,1.11724211,0.20338983,1.09655245,0.26086957,0.7848,0.49166667,0.175,0.33333333,1.475,0.15,0.05084746,3.46415418,100.7551331,99.5026616,102.1210393,-0.884180425
656222,29,2.755107725,3.80769231,10.7307692,4.84615385,10.0384615,0.69230769,0.27102804,1.65384615,0.36486487,0.5097,0.46052632,0.17105263,0.36842105,1.25,0.071428571,0.05714286,3.60119373,90.8045929,92.97473904,89.33298539,-0.495417115
